youID,title,accountName,pub_date,description,link,duration,TotalComments,Avglength,TotalReplies
Fm8-ImJly1M,Toddler Developmental Milestones Mnemonics | Pediatric Nursing NCLEX Review,RegisteredNurseRN,2020-09-13T01:31:05Z,This toddler developmental milestones pediatric nursing NCLEX review will help nursing students and nurses review important ...,https://www.youtube.com/watch?v=Fm8-ImJly1M,1637,66,103.55,6
68ifH6kmHJ4,Physical Developmental Milestones CDC,LEADERSproject,2020-08-06T20:39:16Z,Physical developmental milestones published by the CDC are reviewed. Non-CEU certificates of completion can be obtained ...,https://www.youtube.com/watch?v=68ifH6kmHJ4,560,0,0,0
3_1Dbg2555A,Supporting Physical Development in Infants and Toddlers,CECE Early Childhood Videos at Eastern CT State U.,2013-02-01T18:49:40Z,The first three years of life are characterized by dramatic changes in children's physical abilities. Adults can support young ...,https://www.youtube.com/watch?v=3_1Dbg2555A,201,0,0,0
KCzl-8f-uIE,Toddlers - Physical,ECETP,2017-08-17T12:50:26Z,This video shows child care providers engaged in different music and movement activities that will help toddlers develop physical ...,https://www.youtube.com/watch?v=KCzl-8f-uIE,163,0,0,0
N4VOuoe9w5s,Preschooler Growth &amp; Developmental Milestones Pediatric Nursing NCLEX Review,RegisteredNurseRN,2020-10-27T21:38:29Z,"Preschooler growth and development (developmental milestones) pediatric nursing review for nursing students, NCLEX review, ...",https://www.youtube.com/watch?v=N4VOuoe9w5s,1330,37,126.54,7
UEJK7Ax5Xho,Kineticvideo.com - Toddler-physical-development-13662-i.mp4,Kineticstreaming,2012-11-19T17:55:41Z,"After about a year of life, when a child consistently, and independently, gets from point A to B on her own two feet, she's made the ...",https://www.youtube.com/watch?v=UEJK7Ax5Xho,302,0,0,0
rX01wVc2BR0,Infant Developmental Milestones Mnemonic Pediatric Nursing NCLEX Review,RegisteredNurseRN,2020-08-22T00:06:21Z,"Infant developmental milestone nursing review lecture for nursing school, nurses, and NCLEX review. In this video, Nurse Sarah ...",https://www.youtube.com/watch?v=rX01wVc2BR0,1104,94,104.31,7
yuVkkhpiHTA,Improving your child&#39;s fine motor and gross motor skills,Michigan Medicine,2013-07-22T00:51:48Z,There are several fun ways you can work with your child on his or her fine motor skills and gross motor skills. In this video ...,https://www.youtube.com/watch?v=yuVkkhpiHTA,230,39,100.46,15
pZSjm0drIGM,"Baby and Toddler Milestones, Dr. Lisa Shulman",Albert Einstein College of Medicine,2012-03-07T13:24:02Z,"http://www.einstein.yu.edu - In this public service video for parents, Lisa Shulman, M.D., uses video of babies and toddlers to show ...",https://www.youtube.com/watch?v=pZSjm0drIGM,439,106,139.36,148
Klu1uJYO9Pg,Toddler - 13 to 24 Months - Developmental Milestones &amp; Red Flags in Development,Friendly Kid Doc,2021-01-25T16:30:08Z,"Dr. Belousov talks about developmental milestones a 13 to 24 month old toddler should be achieving, and red flags to be on the ...",https://www.youtube.com/watch?v=Klu1uJYO9Pg,433,4,47.5,2
FDO7RiFKx1w,Developmental stages of a toddler,Parents and Kids of North Queensland,2019-11-07T05:52:12Z,"Time flies, and before you know it it's time for your little one to turn one. Babies grow at an exceptional speed throughout their first ...",https://www.youtube.com/watch?v=FDO7RiFKx1w,305,0,0,0
g4HdXxz25pw,&quot;Developmental Milestones&quot; by Dr. Holly Hodges and Dr. Bianca Shagrin,OPENPediatrics,2021-04-21T19:01:30Z,"In this video, the viewer will learn the developmental milestones of a newborn through 5 years of age, including parental guidance ...",https://www.youtube.com/watch?v=g4HdXxz25pw,728,5,49.4,0
aHtD_63rjFQ,Encouraging Physical Activity in Preschoolers,CECE Early Childhood Videos at Eastern CT State U.,2013-01-30T20:08:07Z,"Physical exercise is critical for preschoolers' cognitive and physical development. In e-clip # 7, Dr. Darren Robert describes the ...",https://www.youtube.com/watch?v=aHtD_63rjFQ,508,0,0,0
8ZEMXpAvf3s,Physical Development Game - Kids Learning games - Learning Games,Preschool Kids,2016-04-28T16:29:12Z,Kids Learning Games Healthy Game Activity For Physical Development - Kids Learning Games . Learning games Channel ...,https://www.youtube.com/watch?v=8ZEMXpAvf3s,115,0,0,0
KIyWt_qtcnM,6 Month Old Baby Typical &amp; Atypical Development Side by Side,Pathways,2018-12-21T15:50:00Z,EDUCATIONAL VIDEO** There are subtle signs in baby's movements that may indicate a physical development delay.,https://www.youtube.com/watch?v=KIyWt_qtcnM,447,0,0,0
dcquFj4PMwU,ECE 3350 Infant &amp; Toddler Physical Development Section Intro Video,dbellprof,2013-06-09T18:01:01Z,ECE 3350 Infant & Toddler Physical Development Section Intro Video.,https://www.youtube.com/watch?v=dcquFj4PMwU,267,0,0,0
gIZ8PkLMMUo,What is the most important influence on child development | Tom Weisner | TEDxUCLA,TEDx Talks,2016-08-15T21:24:07Z,"If you could do one thing - the most important thing - to influence the life of a young child, what would that be (it's likely not what ...",https://www.youtube.com/watch?v=gIZ8PkLMMUo,522,182,206.7,174
bgzjl7hEPFE,Toddler Physical Development,Mercedes Baeverstad,2018-07-06T01:48:57Z,,https://www.youtube.com/watch?v=bgzjl7hEPFE,160,0,0,0
gpqwFug2Jys,Infant -Toddler Early Development,ECCD Council,2020-02-06T05:34:39Z,The Infant-Toddler Early Development or ITED Program is designed for children ages 0 to 2 years old. Parents and caregivers ...,https://www.youtube.com/watch?v=gpqwFug2Jys,380,0,0,0
