youID,title,accountName,pub_date,description,link,duration,TotalComments,Avglength,TotalReplies
Fm8-ImJly1M,Toddler Developmental Milestones Mnemonics | Pediatric Nursing NCLEX Review,RegisteredNurseRN,2020-09-13T01:31:05Z,This toddler developmental milestones pediatric nursing NCLEX review will help nursing students and nurses review important ...,https://www.youtube.com/watch?v=Fm8-ImJly1M,1637,66,103.55,6
_7wSQPXagYk,Piaget&#39;s Sensorimotor Stage: Infant &amp; Toddler Cognitive Development,Professor LaMarr,2021-02-15T14:00:09Z,,https://www.youtube.com/watch?v=_7wSQPXagYk,603,3,25.33,1
pZSjm0drIGM,"Baby and Toddler Milestones, Dr. Lisa Shulman",Albert Einstein College of Medicine,2012-03-07T13:24:02Z,"http://www.einstein.yu.edu - In this public service video for parents, Lisa Shulman, M.D., uses video of babies and toddlers to show ...",https://www.youtube.com/watch?v=pZSjm0drIGM,439,106,139.36,148
r4QerpKuJsc,Cognitive Milestones for Infants &amp; Toddlers,Professor LaMarr,2021-02-10T18:00:12Z,,https://www.youtube.com/watch?v=r4QerpKuJsc,547,0,0,0
zfOVlZfnjzs,The Importance of Nutrition in Newborn and Toddler Cognitive Development,Lifeminute,2021-07-30T21:42:10Z,The first 1000 days of a child's life are important since it represents the most active period of brain development. But new data ...,https://www.youtube.com/watch?v=zfOVlZfnjzs,121,0,0,0
tzJdw2Cq9S4,Cognitive Development in Early Childhood,Denice Turner,2017-02-01T22:50:51Z,,https://www.youtube.com/watch?v=tzJdw2Cq9S4,1264,0,0,0
IhcgYgx7aAA,Piaget&#39;s Theory of Cognitive Development,Sprouts,2018-08-01T11:54:08Z,Piaget's theory argues that we have to conquer 4 stages of cognitive development: 1. Sensori-Motor Stage 2. Pre-Operational ...,https://www.youtube.com/watch?v=IhcgYgx7aAA,416,691,187.52,331
L41k2p-YRCs,InBrief: Early Childhood Mental Health,Center on the Developing Child at Harvard University,2015-06-19T19:32:28Z,Science tells us that the foundations of sound mental health are built early in life. Early experiences—including children's ...,https://www.youtube.com/watch?v=L41k2p-YRCs,307,0,0,0
_waK6U-29pY,Toddlers - Cognitive,ECETP,2017-08-17T12:49:57Z,This video shows child care providers engaged in different music and movement activities that will help toddlers develop cognitive ...,https://www.youtube.com/watch?v=_waK6U-29pY,92,0,0,0
HAqAGSEJZMA,1100 03.3 - Infant Cognitive Development,Barton Poulson,2012-09-23T17:45:35Z,"Video lecture for PSY 1100: Lifespan Development. This video covers Chapter 03: Infancy, Part 3: Cognitive Development.",https://www.youtube.com/watch?v=HAqAGSEJZMA,473,0,0,0
hOMQnSpxuUE,Cognitive Development and Learning in Young Children,Pearson Assessments US,2019-01-31T02:57:57Z,This session describes cognitive development in young children using sample data to demonstrate the relationship between a ...,https://www.youtube.com/watch?v=hOMQnSpxuUE,3488,6,58.67,0
0gaxu3CZSOY,The importance of cognitive development,therhodeshow,2017-04-24T14:30:44Z,"The first few years of a child's life is critical to their overall development, so that's why many parents are concerned with making ...",https://www.youtube.com/watch?v=0gaxu3CZSOY,193,4,59.75,0
BKJzl8P3pR4,Preschoolers - Cognitive,ECETP,2017-08-17T12:51:46Z,This video shows child care providers engaged in different music and movement activities that will help preschoolers develop ...,https://www.youtube.com/watch?v=BKJzl8P3pR4,229,15,56.67,7
gnArvcWaH6I,A typical child on Piaget&#39;s conservation tasks,munakatay,2011-03-26T04:21:06Z,"A typical 4.5-year-old on Piagetian conservation tasks: number, length, liquid, mass, and area. (Captioning provided by the IT ...",https://www.youtube.com/watch?v=gnArvcWaH6I,230,10804,101.26,7464
am1h-CgsfHQ,Infants - Cognitive,ECETP,2017-08-17T12:47:50Z,This video shows child care providers engaged in different music and movement activities that will help infants develop cognitive ...,https://www.youtube.com/watch?v=am1h-CgsfHQ,53,0,0,0
ZgMqndp3C5Y,Module 13 Cognitive Development of Infants and Toddlers HD 720p,julius Basas,2020-11-24T00:32:05Z,Cognitive Development of Infants and Toddlers For educational purposes only Members: Jingle Andiam Julius Basas Sidrelyn ...,https://www.youtube.com/watch?v=ZgMqndp3C5Y,966,1,42.0,0
1pD50ISxP3k,From Birth to Two: the Neuroscience of Infant Development,Dana Foundation,2015-07-01T13:55:13Z,"From birth to two years old is marked by great cognitive, emotional, social and physical development in children, and the brain is ...",https://www.youtube.com/watch?v=1pD50ISxP3k,6122,56,193.64,74
oI9WE1spJFs,Developmental Milestones for Babies,CNN,2014-08-13T13:22:09Z,Susan Hendricks explains what developmental milestones parents should be looking at during their baby's first year.,https://www.youtube.com/watch?v=oI9WE1spJFs,198,14,117.21,2
LfOcTVu6pcU,Training for caregivers of children with developmental delays and disabilities,World Health Organization (WHO),2020-11-04T08:15:29Z,"Growing up in a nurturing family environment is important for every child's development and well-being. Yet, caregivers of children ...",https://www.youtube.com/watch?v=LfOcTVu6pcU,183,3,71.33,1
