youID,title,accountName,pub_date,description,link,duration,TotalComments,Avglength,TotalReplies
ZkXrmyKqmE0,"Understanding Your Child&#39;s Emotions: A Developmental Approach | Catherine Mogil, PsyD | UCLAMDChat",UCLA Health,2016-10-03T22:59:37Z,"UCLA psychologist Catherine Mogil, PsyD, and learn the best strategies to help your child manage difficult feelings in different ...",https://www.youtube.com/watch?v=ZkXrmyKqmE0,1742,53,224.02,35
UtGqRVIKg4U,The 3 Stages of Emotional Child Development,Psych2Go,2018-09-19T02:18:25Z,"Emotional development refers to the ability to recognize, express, and manage feelings at different stages of life and to have ...",https://www.youtube.com/watch?v=UtGqRVIKg4U,264,108,104.09,58
#NAME?,Helping Toddlers Regulate Emotions,YaleUniversity,2016-06-01T19:04:47Z,"RULER can be used as a framework to support children's emotions throughout the day. In this clip, a teacher helps a toddler ...",https://www.youtube.com/watch?v=-H14NNUYwVc,294,0,0,0
tT2CJO_EGTk,Helping Toddlers Manage Their Big Emotions Using Emotional Intelligence,Tano's Mom,2019-10-28T14:45:00Z,"Tantrums are just an experience toddlers display when they're feeling big emotions (frustration, anger, disappointment, jealousy ...",https://www.youtube.com/watch?v=tT2CJO_EGTk,361,54,208.48,37
cafXa6Z-elA,Social-Emotional Development - 8 to 18 Months,All About Young Children,2014-05-15T17:55:28Z,Examples of how children are learning about feelings and relationships for ages 8 months to 18 months followed by a group ...,https://www.youtube.com/watch?v=cafXa6Z-elA,432,0,0,0
Fm8-ImJly1M,Toddler Developmental Milestones Mnemonics | Pediatric Nursing NCLEX Review,RegisteredNurseRN,2020-09-13T01:31:05Z,This toddler developmental milestones pediatric nursing NCLEX review will help nursing students and nurses review important ...,https://www.youtube.com/watch?v=Fm8-ImJly1M,1637,66,103.55,6
6fL09e8Tm9c,How To Raise Emotionally Intelligent Children | Lael Stone | TEDxDocklands,TEDx Talks,2020-03-31T14:56:35Z,How did your parents respond to you as a child when you were upset? Can you see the impact of their imprints in your life as an ...,https://www.youtube.com/watch?v=6fL09e8Tm9c,732,481,133.9,221
6CE9Zcbd1Hw,Child Care &amp; Development : Infant Emotional Development,eHow,2008-12-27T23:02:35Z,"From two months on, an infant's emotional development depends on the parents' ability to hold, talk and touch their baby as much ...",https://www.youtube.com/watch?v=6CE9Zcbd1Hw,241,2,284.5,1
IEnATgeEERI,Infant/Toddler Social Emotional Development,Michelle Hancock,2016-03-17T17:46:41Z,,https://www.youtube.com/watch?v=IEnATgeEERI,220,0,0,0
j1GCtM49Wjc,What is Social Emotional Development in Children,Milwaukee County DHHS,2020-12-30T15:26:41Z,,https://www.youtube.com/watch?v=j1GCtM49Wjc,96,0,0,0
xY1hDYKmfZE,Social-Emotional Development - 48 to 60 Months,All About Young Children,2014-05-15T17:55:03Z,Examples of how children are learning about feelings and relationships for ages 48 months (4 years) to 60 months (5 years) ...,https://www.youtube.com/watch?v=xY1hDYKmfZE,453,0,0,0
jetoWelJJJk,"Emotions for Kids - Happiness, Sadness, Fear, Anger, Disgust and Surprise",Smile and Learn - English,2020-11-26T16:30:09Z,"Educational video for children to learn the basic emotions in a fun way. We feel happiness when good things happen to us, for ...",https://www.youtube.com/watch?v=jetoWelJJJk,292,0,0,0
XOmrbK9fgcY,Social and emotional development - Parentchannel.tv,Family Lives Parentchannel.tv,2014-04-24T15:18:16Z,"We look at ways to support your toddler's development, helping them to be more resilient and emotionally aware - playing games ...",https://www.youtube.com/watch?v=XOmrbK9fgcY,226,0,0,0
akTRWJZMks0,&quot;Emotions&quot; - StoryBots Super Songs Episode 8 | Netflix Jr,Netflix Jr.,2017-05-10T19:19:38Z,"Get ready for all the feels with the latest episode of ""StoryBots Super Songs."" Help your child understand their emotions with songs ...",https://www.youtube.com/watch?v=akTRWJZMks0,669,0,0,0
bF3j5UVCSCA,InBrief: The Science of Neglect,Center on the Developing Child at Harvard University,2013-10-31T14:00:55Z,Learn more about the science of neglect on our website: https://goo.gl/wUtAw9 Extensive biological and developmental research ...,https://www.youtube.com/watch?v=bF3j5UVCSCA,358,0,0,0
fRxdWR7AvpU,3 Year Old Development | Social Emotional Development,Nekole Amber,2019-04-25T13:00:07Z,Watch here to learn about 3 year old development and what social emotional development looks like at this age.,https://www.youtube.com/watch?v=fRxdWR7AvpU,207,12,202.33,1
zUdMBtK2UVE,Toddler Development Observation,Instructor Pedro,2020-09-22T20:48:40Z,This video is intended to support student learning outcomes within early childhood education. This video will focus on a 15 month ...,https://www.youtube.com/watch?v=zUdMBtK2UVE,2083,0,0,0
ChoOExRLT4Q,1965. Effect of emotional deprivation and neglect on babies. Subtitled in English,Mental Health Treatment,2020-11-29T06:21:22Z,"See also: Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents ...",https://www.youtube.com/watch?v=ChoOExRLT4Q,364,9898,158.15,11423
-5jQo_7LWsE,Parents’ Guide to Baby’s Social-Emotional Development,Pathways,2018-09-05T17:11:30Z,Did you know baby develops social-emotional skills from birth? These skills help to understand and recognize thoughts and ...,https://www.youtube.com/watch?v=-5jQo_7LWsE,56,0,0,0
gizdtjaSzdM,Social &amp; Emotional Milestones for Infants &amp; Toddlers,Professor LaMarr,2021-02-17T18:00:10Z,,https://www.youtube.com/watch?v=gizdtjaSzdM,499,0,0,0
xYBUY1kZpf8,Childhood Trauma and the Brain | UK Trauma Council,Anna Freud NCCF,2020-09-16T23:13:22Z,"A general introduction to what happens in the brain after children face traumatic experiences in childhood, like abuse and neglect.",https://www.youtube.com/watch?v=xYBUY1kZpf8,311,0,0,0
C7g5y7eb77c,Child Development Stages: Social Emotional Milestones for 2-3 Years,Nekole Amber,2018-07-22T18:26:09Z,This video explores child development stages through the lens of social emotional learning skills. Check out the major milestones ...,https://www.youtube.com/watch?v=C7g5y7eb77c,281,13,207.23,6
unMwqtX1ESk,Toddler toys for social and emotional development: My son&#39;s two favorite examples,Tano's Mom,2019-10-20T23:00:09Z,Sharing two of our favorite toys that are aimed for toddlers that focus on social and emotional development. In these two examples ...,https://www.youtube.com/watch?v=unMwqtX1ESk,515,4,56.5,7
nQixEKut8bM,Building Positive Relationships with Young Children (supporting social emotional development),CECE Early Childhood Videos at Eastern CT State U.,2016-04-21T18:03:47Z,"Having strong, positive relationships with adults is critical for young children's social and emotional development, and sets the ...",https://www.youtube.com/watch?v=nQixEKut8bM,560,0,0,0
P7Xqiz3QMyc,Supporting Social Emotional Development in Young Children with Autism Spectrum Disorder,VCU RRTC,2017-02-27T19:52:39Z,Maureen Conroy 4/12/2011 https://rrtc.vcu.edu/,https://www.youtube.com/watch?v=P7Xqiz3QMyc,4541,0,0,0
pZSjm0drIGM,"Baby and Toddler Milestones, Dr. Lisa Shulman",Albert Einstein College of Medicine,2012-03-07T13:24:02Z,"http://www.einstein.yu.edu - In this public service video for parents, Lisa Shulman, M.D., uses video of babies and toddlers to show ...",https://www.youtube.com/watch?v=pZSjm0drIGM,439,106,139.36,148
7HmRA6sxoeU,"Dr. Andrew Meltzoff: Bodies, Brains &amp; Emotions in Infant Development",Simms/Mann Institute,2017-09-18T17:09:08Z,,https://www.youtube.com/watch?v=7HmRA6sxoeU,1358,3,128,0
g4HdXxz25pw,&quot;Developmental Milestones&quot; by Dr. Holly Hodges and Dr. Bianca Shagrin,OPENPediatrics,2021-04-21T19:01:30Z,"In this video, the viewer will learn the developmental milestones of a newborn through 5 years of age, including parental guidance ...",https://www.youtube.com/watch?v=g4HdXxz25pw,728,5,49.4,0
Fb2SPj_5Sok,EMOTIONAL DEVELOPMENT IN EARLY CHILDHOOD | ACTIVITIES FOR A CHILD&#39;S EMOTIONAL DEVELOPMENT,Early Years Matters TV,2021-03-16T13:00:09Z,In this video I explained what emotional child development is all about Emotional development has to do with a child expressing ...,https://www.youtube.com/watch?v=Fb2SPj_5Sok,239,54,111.72,1
apzXGEbZht0,Still Face Experiment: Dr. Edward Tronick,UMass Boston,2009-11-30T18:46:25Z,"Check out Ed's new book, coauthored with Dr. Claudia M. Gold: https://thepowerofdiscord.com Copyright © 2007 ZERO TO ...",https://www.youtube.com/watch?v=apzXGEbZht0,169,354,130.22,1
wFJqlTP4PI4,Toddler Interaction and Emotional Growth,S26GoldToddler,2015-01-13T06:04:41Z,"As well as interacting with friends and family within their home environment, playgroup and other childcare settings are also ...",https://www.youtube.com/watch?v=wFJqlTP4PI4,124,0,0,0
gIZ8PkLMMUo,What is the most important influence on child development | Tom Weisner | TEDxUCLA,TEDx Talks,2016-08-15T21:24:07Z,"If you could do one thing - the most important thing - to influence the life of a young child, what would that be (it's likely not what ...",https://www.youtube.com/watch?v=gIZ8PkLMMUo,522,182,206.7,174
_5PqY-1SOw4,EMOTIONAL DEVELOPMENT OF CHILDREN,Positive Vibes,2021-08-15T07:29:23Z,Emotional Development of Children - Raise your kid into high EQ individuals.,https://www.youtube.com/watch?v=_5PqY-1SOw4,238,4,17.25,0
fojOMDS-PqI,"Child Development, What is it? The 5 stages of a child development explained in this video.",BabyPillars,2020-11-25T22:00:12Z,"What is child development? The answer for parents. In this video I will explain What child development is, what are the 5 stages of ...",https://www.youtube.com/watch?v=fojOMDS-PqI,201,4,89,2
aymvX-OrlS0,The Impact of Early Emotional Neglect,The School of Life,2018-07-31T13:00:01Z,"A lot of our adult problems come down to varieties of emotional neglect suffered in childhood. In this film, we look at one of the ...",https://www.youtube.com/watch?v=aymvX-OrlS0,284,3265,248.08,4871
s1MTkoGNYFI,Learning about EMOTIONS! Activities for social-emotional development - Preschool at Home!,Tess Taylor,2020-10-08T23:59:00Z,Hi friends! Today we are going to talk about emotions and why it's important for us to understand our own emotions and be ...,https://www.youtube.com/watch?v=s1MTkoGNYFI,378,0,0,0
z0CMse5gzNM,Children&#39;s Social And Emotional Development In Their Early Years,SuccessFulParenting,2021-11-10T17:00:40Z,"Hi everyone, This video is about Children's Social And Emotional Development In Their Early Years. Below you will find the links ...",https://www.youtube.com/watch?v=z0CMse5gzNM,425,15,90.8,15
vkJwFRAwDNE,Bruce D. Perry: Social &amp; Emotional Development in Early Childhood [CC],Chicago Humanities Festival,2014-12-11T17:56:42Z,Each of us takes the same journey from birth to consciousness—but none of us recalls it. This early stage of life is crucial; ...,https://www.youtube.com/watch?v=vkJwFRAwDNE,3628,63,289.68,36
URhnO2O6emU,Strengthening the Social-Emotional Health of Young Children Through Screening,BrookesPublishing,2020-10-28T19:54:03Z,"Supporting young children's social-emotional health, while always important, has taken on new significance during the COVID-19 ...",https://www.youtube.com/watch?v=URhnO2O6emU,3458,0,0,0
gMKGZJ94bjs,Supporting Social Emotional Development of Children With Celiac Disease,Celiac SAGE,2020-12-30T17:58:43Z,"In this training video, our experts will discuss the impact of celiac disease on learning and social emotional development and offer ...",https://www.youtube.com/watch?v=gMKGZJ94bjs,645,0,0,0
rX01wVc2BR0,Infant Developmental Milestones Mnemonic Pediatric Nursing NCLEX Review,RegisteredNurseRN,2020-08-22T00:06:21Z,"Infant developmental milestone nursing review lecture for nursing school, nurses, and NCLEX review. In this video, Nurse Sarah ...",https://www.youtube.com/watch?v=rX01wVc2BR0,1104,94,104.31,7
4S2yj4TB_I8,Preschool at Home: 8 Self Regulation Activities for Toddlers | Social Emotional Learning,Up We Grow,2020-10-26T08:35:02Z,Here are 8 fun activities to do with your preschooler to teach them to regulate their emotions and self-control. Social Emotional ...,https://www.youtube.com/watch?v=4S2yj4TB_I8,701,14,66.21,10
vzvhgrTyKMA,LESSON 15: SOCIO-EMOTIONAL DEVELOPMENT OF INFANTS AND TODDLERS,"Planas, Abier A.",2021-11-25T22:35:53Z,,https://www.youtube.com/watch?v=vzvhgrTyKMA,1119,0,0,0
XQTUpe6Brvg,Priddy Books [I Am Calm] Toddler Social Emotional Development!,Willow's World - The Pre School Diaries,2022-01-25T12:42:19Z,I am Calm by Priddy Books is a one way ticket to toddler social emotional development! Priddy Books are brilliant for toddler ...,https://www.youtube.com/watch?v=XQTUpe6Brvg,204,1,12,1
C7O0U9OGHew,Child Development: Your Baby at 18 Months,MultiCare Health System,2013-07-02T22:04:22Z,"Dr. Glenn Tripp, a Developmental Pediatrician with Mary Bridge Children's Health Center, shows you typical infant milestones and ...",https://www.youtube.com/watch?v=C7O0U9OGHew,161,87,197.64,105
U0W2aejgBaU,"EYFS Personal, social and emotional development – Emotions",Department for Education,2021-04-26T14:02:28Z,Children need to be able to explore their emotions in safe relationships and environments. Practitioners give their top tips for ...,https://www.youtube.com/watch?v=U0W2aejgBaU,229,0,0,0
KDWJ28gNUOM,The Neuropsychology of Conduct Disorder in Children | Kalina Michalska | TEDxUCR,TEDx Talks,2017-07-18T19:51:56Z,"Using a combination of neuroimaging, physiological and observational tools, Michalska explores the development of emotional ...",https://www.youtube.com/watch?v=KDWJ28gNUOM,1072,28,220.61,69
i0fnBTUuRIA,Infant Developmental Milestones [UndergroundMed],UndergroudMed,2011-11-11T22:10:21Z,"For more videos, check out our website at: http://videos.undergroundmed.net/",https://www.youtube.com/watch?v=i0fnBTUuRIA,417,194,67.49,15
h973WVZ9eAw,Practical Strategies for Teaching Social Emotional Skills,Pyramid Model,2018-03-16T21:00:19Z,This 28-minute video highlights strategies and approaches that early childhood personnel and families can use to systematically ...,https://www.youtube.com/watch?v=h973WVZ9eAw,1721,32,48.16,6
iAE9uJM20O8,Preschoolers Social and Emotional Development,Tracy Kalar,2020-04-15T21:49:17Z,Preschoolers Social and Emotional Development.,https://www.youtube.com/watch?v=iAE9uJM20O8,1323,0,0,0
2A09NhY5VtA,Child Development Milestones | 3 Year Old Social Emotional Development,Nekole Amber,2020-01-21T16:30:01Z,Learn about child development milestones in this video that dives into social-emotional development for a 3-year-old. Awareness ...,https://www.youtube.com/watch?v=2A09NhY5VtA,299,14,184.07,3
CMGASIyAucI,Toddler Social- Emotional Development Pt. 1,Krista Noll,2020-04-03T00:18:09Z,Recorded with https://screencast-o-matic.com.,https://www.youtube.com/watch?v=CMGASIyAucI,671,0,0,0
4lMlcrJIKs0,Socio-Emotional Development of Infants and Toddlers,Jovelyn Caño,2020-12-08T11:23:29Z,,https://www.youtube.com/watch?v=4lMlcrJIKs0,2559,3,26.67,0
nQ3TKGes99I,Children of the pandemic: How will kids be shaped by the coronavirus crisis?,Science Magazine,2020-04-30T13:56:03Z,Health professionals face a massive challenge in responding to the coronavirus. Child psychologists are no exception as they ...,https://www.youtube.com/watch?v=nQ3TKGes99I,354,10,131.2,0
1pD50ISxP3k,From Birth to Two: the Neuroscience of Infant Development,Dana Foundation,2015-07-01T13:55:13Z,"From birth to two years old is marked by great cognitive, emotional, social and physical development in children, and the brain is ...",https://www.youtube.com/watch?v=1pD50ISxP3k,6122,56,193.64,74
dhOVoE8h8HA,Emotional Development in children with Autism,Barrington Behavioral Health LLC,2021-03-01T14:14:32Z,"Watch this video to learn about the ways in which emotions are differently expressed and understood by children with autism, and ...",https://www.youtube.com/watch?v=dhOVoE8h8HA,97,0,0,0
7arY9eMq-_s,How Children Grow:  Emotional Development,Dr. Rick Chromey,2013-02-03T01:36:54Z,"In this session, Dr. Chromey explains Erik Erikson's Stages for Psychosocial Development and how they impact both parenting, ...",https://www.youtube.com/watch?v=7arY9eMq-_s,697,0,0,0
_lc8NV5P-K4,How To Support A Child&#39;s Social And Emotional Development,Nicholeen Peck - Teaching Self Government,2021-03-25T17:00:12Z,"When raising a child, it's important to pay attention to all aspects of their development. Don't forget to check how they handle ...",https://www.youtube.com/watch?v=_lc8NV5P-K4,653,1,234,0
ohzEujRKtLg,Early Childhood Social and Emotional Learning,WisconsinDPI,2018-05-21T18:31:19Z,Check out a school system that's implemented social and emotional learning to great effect at the early childhood level: Racine ...,https://www.youtube.com/watch?v=ohzEujRKtLg,257,0,0,0
K1slVo3BNtM,The First 1000 Days | Johan Morreau | TEDxTauranga,TEDx Talks,2016-10-03T20:33:48Z,"How important are the first 1000 days of a child's life? The most important, according to Dr Johan Morreau, a paediatrician of 30 ...",https://www.youtube.com/watch?v=K1slVo3BNtM,887,22,284.55,11
